,Open,High,Low,Close,Volume,Dividends,Stock Splits,Sentiment,transformer_sentiment
2020-11-18,14.171608983979239,14.209001056832852,14.003344210389313,14.01269245147705,7971200,0.0,0.0,0,0
2020-11-19,13.956604519824635,13.956604519824635,13.797687990375398,13.863123893737793,5856300,0.0,0.0,0,0
2020-11-20,14.003344076601737,14.059432631094955,13.928559931608996,13.937908172607422,4172000,0.0,0.0,1,0
2020-11-23,14.302482732663412,14.386615125622784,14.237045931752009,14.377266883850098,5346400,0.0,0.0,0,0
2020-11-24,14.50813922222998,14.582923371499422,14.442702422996181,14.517486572265625,12677400,0.0,0.0,-1,0
2020-11-25,14.17161005240386,14.265090687334244,14.059433825385844,14.115522384643555,5194100,0.0,0.0,0,0
2020-11-27,14.022041190292924,14.12486917141602,13.919213209169829,13.947257041931152,4397900,0.0,0.0,0,0
2020-11-30,13.937909076840663,14.246393917823251,13.87247316860114,14.22769832611084,9652400,0.0,0.0,0,0
2020-12-01,14.48009486885744,14.498791352402813,14.321178324711383,14.377266883850098,8176000,0.0,0.0,0,0
2020-12-02,14.517485895801165,14.545530619093455,14.274437867749361,14.405309677124023,7482800,0.0,0.0,0,0
2020-12-03,14.302480801627006,14.321176391150809,14.180956349481804,14.246392250061035,13907300,0.0,0.0,1,0
2020-12-04,14.414658735841508,14.732491819203359,14.405310494213833,14.723143577575684,8994600,0.0,0.0,0,0
2020-12-07,14.620314294703952,14.704445787383222,14.536181910527372,14.601617813110352,5835700,0.0,0.0,0,0
2020-12-08,14.676402065438245,14.984887773541473,14.63900999347078,14.966191291809082,11478600,0.0,0.0,-1,0
2020-12-09,15.012931784050027,15.040976508649104,14.452050664529207,14.517486572265625,13918100,0.0,0.0,0,0
2020-12-10,14.639010161226906,14.676402233622866,14.461398040220427,14.489441871643066,10106200,0.0,0.0,0,0
2020-12-11,14.592269300970909,14.769882306818163,14.592269300970909,14.713793754577637,7196400,0.0,0.0,0,0
